spotify-this-songspotify-this-songmovie-thismovie-thisspotify-this-song, fade
spotify-this-song, fade to black
movie-this, oldboymovie-this, oldboyspotify-this-song, fade to blackspotify-this-songfade to blackspotify-this-song, fade to black
spotify-this-song, fade to black
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do-what-it-says, 
do=what-it-says, 
do-what-it-says, 
concert-this, Insomnium
command-list, 
concert-this, Insomnium
command-list, 
do-what-it-says, 
spotify-this-song, fade to black
movie-this, oldboy
undefined, 
undefined, 
undefined, 
undefined, undefinedundefined
undefined, 
undefined, 
no-commands-entered-to-log
no-commands-entered-to-log
no-commands-entered-to-log
command-list, 
command-list, 
command-list, 
command-list, 
command-list, 
command-list, 
